timestamp,session_id,query_id,question,query_time,doc_count,search_type,search_kwargs,metadata,avg_time_window,min_time_window,max_time_window
2025-09-11T20:51:06.780920,20250911_205105,6,Fungal infection prevention in agricultural crops,0.01634779095184058,3,mmr,"{""k"": 3, ""fetch_k"": 6}",{},0.057476222165860236,0.014963375055231154,0.14649516704957932
2025-09-11T20:55:18.232620,20250911_205518,1,Apple tree disease management techniques,0.412775042001158,3,mmr,"{""k"": 3, ""fetch_k"": 6}",{},0.412775042001158,0.412775042001158,0.412775042001158
2025-09-11T20:55:18.849066,20250911_205518,2,Rice paddy bacterial blight symptoms,0.19412708398886025,3,mmr,"{""k"": 3, ""fetch_k"": 6}",{},0.3034510629950091,0.19412708398886025,0.412775042001158
2025-09-11T20:55:19.178363,20250911_205518,3,Coconut palm red weevil control methods,0.19176870805677027,3,mmr,"{""k"": 3, ""fetch_k"": 6}",{},0.2662236113489295,0.19176870805677027,0.412775042001158
2025-09-11T20:55:19.581127,20250911_205518,4,Organic pesticide application for fruit trees,0.024233209085650742,3,mmr,"{""k"": 3, ""fetch_k"": 6}",{},0.20572601078310981,0.024233209085650742,0.412775042001158
2025-09-11T20:55:19.712002,20250911_205518,5,Crop yield improvement strategies,0.2131053329212591,3,mmr,"{""k"": 3, ""fetch_k"": 6}",{},0.20720187521073968,0.024233209085650742,0.412775042001158
2025-09-11T20:55:20.061195,20250911_205518,6,Fungal infection prevention in agricultural crops,0.02327374997548759,3,mmr,"{""k"": 3, ""fetch_k"": 6}",{},0.176547187671531,0.02327374997548759,0.412775042001158
2025-09-11T20:55:46.619883,20250911_205546,1,Apple tree disease management techniques,0.1457299169851467,3,mmr,"{""k"": 3, ""fetch_k"": 6}",{},0.1457299169851467,0.1457299169851467,0.1457299169851467
2025-09-11T20:55:46.990103,20250911_205546,2,Rice paddy bacterial blight symptoms,0.045205957954749465,3,mmr,"{""k"": 3, ""fetch_k"": 6}",{},0.09546793746994808,0.045205957954749465,0.1457299169851467
2025-09-11T20:55:47.157461,20250911_205546,3,Coconut palm red weevil control methods,0.05372133303899318,3,mmr,"{""k"": 3, ""fetch_k"": 6}",{},0.08155240265962978,0.045205957954749465,0.1457299169851467
2025-09-11T20:55:47.380071,20250911_205546,4,Organic pesticide application for fruit trees,0.030985041055828333,3,mmr,"{""k"": 3, ""fetch_k"": 6}",{},0.06891056225867942,0.030985041055828333,0.1457299169851467
2025-09-11T20:55:47.513843,20250911_205546,5,Crop yield improvement strategies,0.04938133398536593,3,mmr,"{""k"": 3, ""fetch_k"": 6}",{},0.06500471660401672,0.030985041055828333,0.1457299169851467
2025-09-11T20:55:47.657401,20250911_205546,6,Fungal infection prevention in agricultural crops,0.03013616695534438,3,mmr,"{""k"": 3, ""fetch_k"": 6}",{},0.05919329166257133,0.03013616695534438,0.1457299169851467
2025-09-11T23:54:35.598483,20250911_235435,1,"Treatment prescription for esca_ in tomato crop in Tamil Nadu region during summer season. Include chemical treatments, organic options, prevention methods, dosage, and timing.",0.36300145892892033,3,mmr,"{""k"": 3, ""fetch_k"": 6}",{},0.36300145892892033,0.36300145892892033,0.36300145892892033
2025-09-11T23:56:33.337478,20250911_235633,1,"Treatment prescription for esca_ in tomato crop in Tamil Nadu region during summer season. Include chemical treatments, organic options, prevention methods, dosage, and timing.",0.11900262499693781,3,mmr,"{""k"": 3, ""fetch_k"": 6}",{},0.11900262499693781,0.11900262499693781,0.11900262499693781
2025-09-12T00:00:16.622660,20250912_000016,1,"Treatment prescription for esca_ in tomato crop in Tamil Nadu region during summer season. Include chemical treatments, organic options, prevention methods, dosage, and timing.",0.20233720797114074,3,mmr,"{""k"": 3, ""fetch_k"": 6}",{},0.20233720797114074,0.20233720797114074,0.20233720797114074
2025-09-12T00:01:55.014773,20250912_000155,1,"Treatment prescription for esca_ in tomato crop in Tamil Nadu region during summer season. Include chemical treatments, organic options, prevention methods, dosage, and timing.",0.15924145805183798,3,mmr,"{""k"": 3, ""fetch_k"": 6}",{},0.15924145805183798,0.15924145805183798,0.15924145805183798
2025-09-12T00:02:09.318942,20250912_000209,1,"Treatment prescription for esca_ in tomato crop in Tamil Nadu region during summer season. Include chemical treatments, organic options, prevention methods, dosage, and timing.",0.11972324992530048,3,mmr,"{""k"": 3, ""fetch_k"": 6}",{},0.11972324992530048,0.11972324992530048,0.11972324992530048
2025-09-12T00:10:10.932317,20250912_001010,1,"Treatment prescription for esca_ in tomato crop in Tamil Nadu region during summer season. Include chemical treatments, organic options, prevention methods, dosage, and timing. StateName:TAMILNADU",0.11519458307884634,3,mmr,"{""k"": 3, ""fetch_k"": 6}",{},0.11519458307884634,0.11519458307884634,0.11519458307884634
2025-09-12T00:21:57.857459,20250912_002157,1,"Treatment prescription for esca_ in tomato crop in Tamil Nadu region during summer season. Include chemical treatments, organic options, prevention methods, dosage, and timing. StateName:TAMILNADU",0.11382587510161102,0,similarity_score_threshold,"{""k"": 5, ""score_threshold"": 0.8}",{},0.11382587510161102,0.11382587510161102,0.11382587510161102
2025-09-12T00:23:26.791190,20250912_002326,1,"Treatment prescription for esca_ in tomato crop in Tamil Nadu region during summer season. Include chemical treatments, organic options, prevention methods, dosage, and timing. StateName:TAMILNADU",0.10979204101022333,5,similarity_score_threshold,"{""k"": 5, ""score_threshold"": 0.6}",{},0.10979204101022333,0.10979204101022333,0.10979204101022333
2025-09-12T00:27:17.722310,20250912_002717,1,"Treatment prescription for esca_ in tomato crop in Tamil Nadu region during summer season. Include chemical treatments, organic options, prevention methods, dosage, and timing. StateName:TAMILNADU",0.09358916699420661,0,similarity_score_threshold,"{""k"": 5, ""score_threshold"": 0.6, ""fetch_k"": 3, ""filter"": {""state"": ""TAMILNADU""}}",{},0.09358916699420661,0.09358916699420661,0.09358916699420661
2025-09-12T00:28:15.482552,20250912_002815,1,"Treatment prescription for esca_ in tomato crop in Tamil Nadu region during summer season. Include chemical treatments, organic options, prevention methods, dosage, and timing. StateName:TAMILNADU",0.153792958939448,0,similarity_score_threshold,"{""k"": 5, ""score_threshold"": 0.6, ""filter"": {""state"": ""TAMILNADU""}}",{},0.153792958939448,0.153792958939448,0.153792958939448
2025-09-12T00:29:07.946732,20250912_002907,1,"Treatment prescription for esca_ in tomato crop in Tamil Nadu region during summer season. Include chemical treatments, organic options, prevention methods, dosage, and timing. StateName:TAMILNADU",0.1192931670229882,5,similarity_score_threshold,"{""k"": 5, ""score_threshold"": 0.6}",{},0.1192931670229882,0.1192931670229882,0.1192931670229882
2025-09-12T00:33:07.468349,20250912_003307,1,"Treatment prescription for esca_ in tomato crop in Tamil Nadu region during summer season. Include chemical treatments, organic options, prevention methods, dosage, and timing. StateName:TAMILNADU",0.10177058400586247,0,similarity_score_threshold,"{""k"": 5, ""score_threshold"": 0.7}",{},0.10177058400586247,0.10177058400586247,0.10177058400586247
2025-09-12T00:33:50.405333,20250912_003350,1,"Treatment prescription for esca_ in tomato crop in Tamil Nadu region during summer season. Include chemical treatments, organic options, prevention methods, dosage, and timing. StateName:TAMILNADU",0.10401170910336077,5,similarity_score_threshold,"{""k"": 5, ""score_threshold"": 0.65}",{},0.10401170910336077,0.10401170910336077,0.10401170910336077
2025-09-12T00:34:20.946662,20250912_003420,1,"Treatment prescription for esca_ in tomato crop in Tamil Nadu region during summer season. Include chemical treatments, organic options, prevention methods, dosage, and timing. StateName:TAMILNADU",0.09904704103246331,5,similarity_score_threshold,"{""k"": 5, ""score_threshold"": 0.65}",{},0.09904704103246331,0.09904704103246331,0.09904704103246331
2025-09-12T00:36:58.974939,20250912_003658,1,"Treatment prescription for esca_ in tomato crop in karnataka region during summer season. Include chemical treatments, organic options, prevention methods, dosage, and timing. StateName:KARNATAKA",0.11308716598432511,5,similarity_score_threshold,"{""k"": 5, ""score_threshold"": 0.65}",{},0.11308716598432511,0.11308716598432511,0.11308716598432511
